,artist
0,3d
1,hans-von-aachen
2,vilmos-aba-novak
3,reza-abbasi
4,louise-abbema
5,edwin-austin-abbey
6,douglas-abdell
7,basuki-abdullah
8,zainul-abedin
9,mher-abeghian
10,marina-abramovic
11,petre-abrudan
12,absalon
13,carla-accardi
14,vito-acconci
15,paul-ackerman
16,norman-ackroyd
17,nutzi-acontz
18,valerio-adami
19,ansel-adams
20,bas-jan-ader
21,jankel-adler
22,etel-adnan
23,gosta-adrian-nilsson
24,jef-aerosol
25,pieter-aertsen
26,afewerk-tekle
27,nadir-afonso
28,afro
29,yaacov-agam
30,eileen-agar
31,aydin-aghdashloo
32,charuvi-agrawal
33,gilles-aillaud
34,ivan-aivazovsky
35,roberto-aizenberg
36,abdul-qader-al-raes
37,alan-aine
38,grace-albee
39,anni-albers
40,josef-albers
41,albert-aublet
42,mariotto-albertinelli
43,olga-albizu
44,ivan-albright
45,lita-albuquerque
46,pierre-alechinsky
47,fyodor-alekseyev
48,leonardo-alenza
49,alexander-bazhbeuk-melikyan
50,peter-alexander
51,alexandru-phoebus
52,alexis-digart
53,alfredo-andersen
54,hoca-ali-riza
55,alphonse-allais
56,david-allan
57,christian-wilhelm-allers
58,jose-de-almada-negreiros
59,lara-almarcegui
60,sir-lawrence-alma-tadema
61,helena-almeida
62,carlos-alonso
63,rudolf-von-alt
64,ioannis-altamouras
65,albrecht-altdorfer
66,nathan-altman
67,john-altoon
68,carsten-nicolai
69,hans-am-ende
70,theodor-aman
71,sidney-amaral
72,tarsila-do-amaral
73,pedro-americo
74,cuno-amiet
75,el-anatsui
76,anna-ancher
77,edna-andrade
78,carl-andre
79,ion-andreescu
80,benny-andrews
81,octav-angheluta
82,charles-angrand
83,sofonisba-anguissola
84,albert-anker
85,jury-annenkov
86,david-annesley
87,giovanni-anselmo
88,thomas-pollock-anshutz
89,stephen-antonakos
90,aleksey-antropov
91,richard-anuszkiewicz
92,apelles
93,karel-appel
94,billy-apple
95,anne-appleby
96,peter-nicolai-arbo
97,diana-arbus
98,james-archer
99,olexandr-archipenko
100,giuseppe-arcimboldo
101,mordecai-ardon
102,antonio-areal
103,sofia-areal
104,rodolfo-arico
105,avigdor-arikha
106,howard-arkley
107,siah-armajani
108,arman
109,john-armleder
110,rolf-amstrong
111,andre-pierre-arnal
112,francois-arnal
113,jean-arp
114,eduardo-arroyo
115,constantin-artachino
116,arthur-nisio
117,richard-artschwager
118,artur-cuber
119,julian-ashton
120,carlos-quizpez-asin
121,antonio-asis
122,mariam-aslamazian
123,dieter-asmus
124,genevieve-asse
125,jean-michel-atlan
126,ozdemir-atlan
127,atsuko-tanaka
128,christian-ludwig-attersee
129,bernard-aubertin
130,john-james-audubon
131,frank-auerbach
132,george-ault
133,aura-hertwig
134,john-austen
135,avanesov-vladislav
136,edward-avedisian
137,hendrick-avercamp
138,milton-avery
139,alaa-awad
140,evelyne-axell
141,alice-aycock
142,ay-o
143,gillian-ayres
144,anton-azbe
145,azim-azimzade
146,knud-baade
147,corneliu-baba
148,alice-baber
149,marcello-bacciarelli
150,francis-bacon
151,jo-baer
152,olle-baertling
153,firmin-baes
154,sattar-bahlulzadeh
155,alice-bailly
156,enrico-baj
157,samuel-bak
158,leon-bakst
159,sabin-balasa
160,john-baldessari
161,hans-baldung
162,endre-balint
163,peder-balke
164,giacomo-balla
165,mario-ballocco
166,adam-baltatu
167,balthus
168,octav-bancila
169,joachim-bandau
170,banksy
171,walter-darby-bannard
172,edward-mitchell-bannister
173,noma-bar
174,miklos-barabas
175,amir-baradaran
176,marcel-barbeau
177,thomas-jones-barker
178,phyllida-barlow
179,will-barnet
180,jill-baroff
181,hannelore-baron
182,fran-ois-barraud
183,martin-barre
184,james-barry
185,robert-barry
186,jennifer-bartlett
187,luciano-bartolini
188,endre-bartos
189,gianfranco-baruchello
190,georg-baselitz
191,marie-bashkirtseff
192,jean-michel-basquiat
193,jacopo-bassano
194,jules-bastien-lepage
195,david-batchelor
196,robert-bateman
197,david-bates
198,walter-battiss
199,andre-bauchant
200,john-bauer
201,rudolf-bauer
202,willi-baumeister
203,lothar-baumgarten
204,iain-baxter
205,francisco-bayeu-y-subias
206,jean-rene-bazaine
207,frederic-bazille
208,william-baziotes
209,achraf-baznani
210,mary-beale
211,romare-bearden
212,aubrey-beardsley
213,basil-beattie
214,max-beckmann
215,osias-beert
216,albrecht-behmel
217,hossein-behzad
218,xu-beihong
219,ara-bekaryan
220,zdislav-beksinski
221,lorenzo-belenguer
222,charles-bell
223,graham-bell
224,larry-bell
225,vanessa-bell
226,michael-bell
227,giovanni-bellini
228,jacopo-bellini
229,hans-bellmer
230,bernardo-bellotto
231,george-bellows
232,kent-bellows
233,ben
234,barton-lidice-benes
235,lynda-benglis
236,karl-benjamin
237,albert-benua
238,alexandre-benois
239,marie-guillemine-benoist
240,jean-benoit
241,frank-w-benson
242,thomas-hart-benton
243,jean-beraud
244,leon-berkowitz
245,henryk-berlewi
246,eduardo-berliner
247,bartolome-bermejo
248,emile-bernard
249,bernd-luz
250,horia-bernea
251,antonio-berni
252,gian-lorenzo-bernini
253,jean-bertholle
254,rene-bertholo
255,huguette-arthur-bertrand
256,forrest-bess
257,joseph-beuys
258,charles-bezie
259,jyoti-bhatt
260,alberto-biasi
261,ashley-bickerton
262,albert-bierstadt
263,ivan-bilibin
264,max-bill
265,bill-oconnor
266,kateryna-bilokur
267,george-caleb-bingham
268,elmer-bischoff
269,cesare-biseo
270,james-bishop
271,julius-bissier
272,roger-bissi-re
273,albert-bitran
274,ion-bitzan
275,eugene-de-blaas
276,dorrit-black
277,charles-blackman
278,ronald-bladen
279,mary-blair
280,peter-blake
281,william-blake
282,antoine-blanchard
283,michel-blazy
284,constantin-blendea
285,albert-bloch
286,carl-bloch
287,godfrey-blow
288,norman-bluhm
289,rochelle-blumenfeld
290,anna-katarina-boberg
291,umberto-boccioni
292,mel-bochner
293,arnold-bocklin
294,karl-bodmer
295,alighiero-boetti
296,konstantin-bogaevsky
297,bram-bogart
298,nikolay-bogdanov-belsky
299,alexander-boghossian
300,boglarka-tornai
301,alexey-bogolyubov
302,oleksandr-bogomazov
303,maurice-boitel
304,ferdinand-bol
305,giovanni-boldini
306,bill-bollinger
307,ilya-bolotowsky
308,christian-boltanski
309,giovanni-antonio-boltraffio
310,michael-bolus
311,david-bomberg
312,camille-bombois
313,vladimir-bonacic
314,agostino-bonalumi
315,victor-bonato
316,dora-boneva
317,rosa-bonheur
318,richard-parkes-bonington
319,pierre-bonnard
320,leon-bonnat
321,lee-bontecou
322,gregoire-boonzaier
323,columbano-bordalo-pinheiro
324,paul-emile-borduas
325,boris-bucan
326,victor-borisov-musatov
327,aleksandr-borodin
328,vladimir-borovikovsky
329,sandor-bortnyik
330,hieronymus-bosch
331,nandalal-bose
332,derek-boshier
333,carlos-botelho
334,fernando-botero
335,jan-dirksz-both
336,martha-boto
337,chronis-botsoglou
338,francis-bott
339,sandro-botticelli
340,francesco-botticini
341,pauline-boty
342,francois-boucher
343,eugene-boudin
344,alice-boughton
345,william-adolphe-bouguereau
346,gustave-boulanger
347,sebastien-bourdon
348,louise-bourgeois
349,dirk-bouts
350,george-bouzianis
351,frank-bowling
352,stanley-boxer
353,mykhailo-boychuk
354,paul-brach
355,john-brack
356,robert-brackman
357,marie-bracquemond
358,william-bradford
359,john-bradley
360,leonaert-bramer
361,constantin-brancusi
362,eugene-brands
363,georges-braque
364,brassai
365,john-bratby
366,geta-bratescu
367,maurice-braun
368,victor-brauner
369,claudio-bravo
370,manuel-alvarez-bravo
371,victor-brecheret
372,arno-breker
373,jules-breton
374,anne-brigman
375,serge-brignoni
376,paul-bril
377,romero-britto
378,gandy-brodie
379,melchior-broederlam
380,fyodor-bronnikov
381,agnolo-bronzino
382,marcel-broodthaers
383,james-brooks
384,adriaen-brouwer
385,stanley-brouwn
386,benjamin-brown
387,ford-madox-brown
388,glenn-brown
389,joan-brown
390,theophilus-brown
391,patrick-henry-bruce
392,pieter-bruegel-the-elder
393,filippo-brunelleschi
394,bruno-canova
395,albin-brunovsky
396,camille-bryen
397,karl-bryullov
398,gustave-buchet
399,carl-buchheister
400,erich-buchholz
401,bernard-buffet
402,erik-bulatov
403,angela-bulloch
404,rupert-bunny
405,kasumi-bunsho
406,sever-burada
407,laurel-burch
408,david-burdeny
409,daniel-buren
410,samuel-buri
411,david-burliuk
412,ian-burn
413,eugene-burnand
414,edward-burne-jones
415,alberto-burri
416,frederick-william-burton
417,pol-bury
418,peter-busa
419,jack-bush
420,yosa-buson
421,jacques-busse
422,mildred-anne-butler
423,reg-butler
424,byalynitskiy-birulya
425,james-lee-byars
426,byzantine-mosaics
427,celeste-m-evans
428,alexandre-cabanel
429,alejandro-cabeza
430,lilla-cabot-perry
431,miguel-cabrera
432,pedro-cabrita-reis
433,andre-cadere
434,cadurcis-plantagenet-ream
435,ippolito-caffi
436,john-cage
437,marcelle-cahn
438,gustave-caillebotte
439,pedro-calapez
440,alexander-calder
441,antonio-calderara
442,fernando-calhau
443,ibrahim-calli
444,stefan-caltia
445,jorge-camacho
446,jorge-gonzalez-camarena
447,julia-margaret-cameron
448,luis-camnitzer
449,james-campbell
450,james-campbell-noble
451,jose-campeche
452,heinrich-campendonk
453,robert-campin
454,canaletto
455,benjamin-canas
456,louis-cane
457,niccolo-cannicci
458,alonzo-cano
459,antonio-canova
460,mircea-cantor
461,marie-gabrielle-capet-0
462,benedetta
463,leonetto-cappiello
464,jose-manuel-capuletti
465,caravaggio
466,agustin-cardenas
467,arthur-beecher-carles
468,carloluigi-colombo
469,emil-carlsen
470,otto-gustav-carlsund
471,franklin-carmichael
472,john-wilson-carmichael
473,alberto-carneiro
474,antonio-carneiro
475,anthony-caro
476,carolus-duran
477,nicolas-carone
478,vittore-carpaccio
479,emily-carr
480,kate-carr
481,carlo-carra
482,agostino-carracci
483,annibale-carracci
484,michel-carrade
485,juan-carreno-de-miranda
486,ethel-carrick
487,rosalba-carriera
488,eugene-carriere
489,lilia-carrillo
490,leonora-carrington
491,lewis-carroll
492,henri-cartier-bresson
493,enrico-caruso
494,felice-casorati
495,cassandre
496,mary-cassatt
497,bruno-cassinari
498,juan-carlos-castagnino
499,andrea-del-castagno
500,enrico-castellani
501,jorge-castillo
502,amilcar-de-castro
503,lourdes-castro
504,henri-catargi
505,george-catlin
506,maurizio-cattelan
507,patrick-caulfield
508,giorgio-cavallon
509,enrique-martinez-celaya
510,benvenuto-cellini
511,vija-celmins
512,cennino-cennini
513,mario-cesariny
514,paul-cezanne
515,paul-emile-chabas
516,roberto-chabet
517,marc-chagall
518,edgar-chahine
519,gaston-chaissac
520,chaldin-alex
521,yannoulis-chalepas
522,john-chamberlain
523,alexandre-jacques-chantron
524,chaokun-wang
525,serge-charchoune
526,jean-baptiste-simeon-chardin
527,charles-atamian
528,james-charles
529,charles-amable-lenoir
530,alan-charlton
531,lothar-charoux
532,william-merritt-chase
533,theodore-chasseriau
534,jozef-chelmonski
535,chen-hong
536,yifei-chen
537,jules-cheret
538,sandro-chia
539,judy-chicago
540,chicote-cfc
541,billy-childish
542,eduardo-chillida
543,galileo-chini
544,martin-chirino
545,dan-christensen
546,carl-ludwig-johann-christineck
547,petrus-christus
548,luke-chueh
549,frederic-edwin-church
550,winston-churchill
551,filippo-cifariello
552,cima-da-conegliano
553,cimabue
554,alexandru-ciucurencu
555,florin-ciulache
556,mikalojus-ciurlionis
557,pieter-claesz
558,claricia
559,lygia-clark
560,harry-clarke
561,claudio-castillo
562,emile-claus
563,francesco-clemente
564,chuck-close
565,giulio-clovio
566,teddy-cobena
567,alvin-langdon-coburn
568,jean-cocteau
569,pieter-codde
570,sue-coe
571,claudio-coello
572,christo-coetzee
573,bernard-cohen
574,aurel-cojan
575,adnan-coker
576,thomas-cole
577,john-collier
578,jacob-collins
579,william-collins
580,gisela-colon
581,alex-colville
582,mario-comensoli
583,charles-conder
584,william-congdon
585,john-constable
586,constantin-galceava
587,consuelo-hernandez
588,ron-cooper
589,cope2
