,artist,city,country
0,vilmos-aba-novak,{'Budapest'},{'HU'}
1,reza-abbasi,{'Mashhad'},{'IR'}
2,louise-abbema,{'?tampes'},{'FR'}
3,edwin-austin-abbey,{'Philadelphia'},{'US'}
4,douglas-abdell,"{'Boston', 'March'}","{'IT', 'LB', 'GB', 'US'}"
5,zainul-abedin,set(),"{'BD', 'IN', 'GB'}"
6,marina-abramovic,{'Belgrade'},{'RS'}
7,carla-accardi,{'Trapani'},{'IT'}
8,vito-acconci,{'York'},{'US'}
9,norman-ackroyd,"{'Leeds', 'March'}",{'GB'}
10,nutzi-acontz,set(),{'RO'}
11,valerio-adami,{'Bologna'},{'IT'}
12,ansel-adams,{'San'},{'ML'}
13,bas-jan-ader,{'Winschoten'},{'NL'}
14,etel-adnan,{'Beirut'},{'LB'}
15,gosta-adrian-nilsson,set(),{'SE'}
16,jef-aerosol,{'Nantes'},{'FR'}
17,afewerk-tekle,set(),{'ET'}
18,nadir-afonso,set(),{'PT'}
19,afro,"{'Udine', 'March'}","{'IT', 'GB'}"
20,yaacov-agam,{'Palestine'},{'US'}
21,eileen-agar,set(),{'AR'}
22,aydin-aghdashloo,{'Rasht'},{'IR'}
23,charuvi-agrawal,{'Delhi'},{'IN'}
24,ivan-aivazovsky,set(),{'RU'}
25,roberto-aizenberg,{'Federal'},{'AR'}
26,abdul-qader-al-raes,{'Dubai'},{'AE'}
27,grace-albee,"{'Cranston', 'Arnold'}",{'US'}
28,anni-albers,{'Berlin'},{'DE'}
29,josef-albers,"{'Bottrop', 'March'}","{'GB', 'DE'}"
30,mariotto-albertinelli,{'Florence'},{'US'}
31,olga-albizu,{'Ponce'},{'PR'}
32,ivan-albright,{'Harvey'},{'US'}
33,lita-albuquerque,{'Paris'},"{'FR', 'TN', 'US'}"
34,alexander-bazhbeuk-melikyan,{'Tbilisi'},"{'GE', 'RU'}"
35,alphonse-allais,{'Paris'},{'US'}
36,christian-wilhelm-allers,{'Hamburg'},{'DE'}
37,jose-de-almada-negreiros,{'Jos'},{'NG'}
38,sir-lawrence-alma-tadema,set(),{'NL'}
39,helena-almeida,{'Lisbon'},{'PT'}
40,carlos-alonso,{'Mendoza'},{'AR'}
41,ioannis-altamouras,{'Naples'},"{'IT', 'US'}"
42,albrecht-altdorfer,"{'Regensburg', 'Altdorf'}",{'DE'}
43,nathan-altman,set(),"{'RU', 'UA'}"
44,john-altoon,set(),{'AM'}
45,carsten-nicolai,{'Chemnitz'},{'DE'}
46,theodor-aman,{'March'},"{'RO', 'GB'}"
47,tarsila-do-amaral,{'Capivari'},{'BR'}
