,artist,wikipediaUrl
0,3d,http://en.wikipedia.org/wiki/Robert_Del_Naja
1,hans-von-aachen,http://en.wikipedia.org/wiki/Hans_von_Aachen
2,vilmos-aba-novak,http://en.wikipedia.org/wiki/Vilmos_Aba-Nov%C3%A1k
3,reza-abbasi,http://en.wikipedia.org/wiki/Reza_Abbasi
4,louise-abbema,https://en.wikipedia.org/wiki/Louise_Abb%C3%A9ma
5,edwin-austin-abbey,http://en.wikipedia.org/wiki/Edwin_Austin_Abbey
6,douglas-abdell,http://en.wikipedia.org/wiki/Douglas_Abdell
7,basuki-abdullah,http://en.wikipedia.org/wiki/Basuki_Abdullah
8,zainul-abedin,https://en.wikipedia.org/wiki/Zainul_Abedin
9,marina-abramovic,https://en.wikipedia.org/wiki/Marina_Abramovi%C4%87
10,petre-abrudan,http://ro.wikipedia.org/wiki/Petre_Abrudan
11,carla-accardi,http://en.wikipedia.org/wiki/Carla_Accardi
12,vito-acconci,http://en.wikipedia.org/wiki/Vito_Acconci
13,norman-ackroyd,http://en.wikipedia.org/wiki/Norman_Ackroyd
14,nutzi-acontz,https://en.wikipedia.org/wiki/Nutzi_Acontz
15,valerio-adami,http://en.wikipedia.org/wiki/Valerio_Adami
16,ansel-adams,http://en.wikipedia.org/wiki/Ansel_Adams
17,bas-jan-ader,http://en.wikipedia.org/wiki/Bas_Jan_Ader
18,jankel-adler,http://en.wikipedia.org/wiki/Jankel_Adler
19,etel-adnan,https://en.wikipedia.org/wiki/Etel_Adnan
20,gosta-adrian-nilsson,http://en.wikipedia.org/wiki/G%C3%B6sta_Adrian-Nilsson
21,jef-aerosol,https://en.wikipedia.org/wiki/Jef_A%C3%A9rosol
22,pieter-aertsen,http://en.wikipedia.org/wiki/Pieter_Aertsen
23,afewerk-tekle,http://en.wikipedia.org/wiki/Afewerk_Tekle
24,nadir-afonso,http://en.wikipedia.org/wiki/Nadir_Afonso
25,afro,http://en.wikipedia.org/wiki/Afro_Basaldella
26,yaacov-agam,http://en.wikipedia.org/wiki/Yaacov_Agam
27,eileen-agar,http://en.wikipedia.org/wiki/Eileen_Agar
28,aydin-aghdashloo,https://en.wikipedia.org/wiki/Aydin_Aghdashloo
29,charuvi-agrawal,https://en.wikipedia.org/wiki/Charuvi_Agrawal
30,gilles-aillaud,http://en.wikipedia.org/wiki/Gilles_Aillaud
31,ivan-aivazovsky,http://en.wikipedia.org/wiki/Ivan_Aivazovsky
32,roberto-aizenberg,http://en.wikipedia.org/wiki/Roberto_Aizenberg
33,abdul-qader-al-raes,http://en.wikipedia.org/wiki/Abdul_Qader_Al_Raes
34,grace-albee,https://en.wikipedia.org/wiki/Grace_Albee
35,anni-albers,http://en.wikipedia.org/wiki/Anni_Albers
36,josef-albers,http://en.wikipedia.org/wiki/Josef_Albers
37,albert-aublet,https://fr.wikipedia.org/wiki/Albert_Aublet
38,mariotto-albertinelli,https://en.wikipedia.org/wiki/Mariotto_Albertinelli
39,olga-albizu,http://en.wikipedia.org/wiki/Olga_Albizu
40,ivan-albright,http://en.wikipedia.org/wiki/Ivan_Albright
41,lita-albuquerque,http://en.wikipedia.org/wiki/Lita_Albuquerque
42,pierre-alechinsky,http://en.wikipedia.org/wiki/Pierre_Alechinsky
43,fyodor-alekseyev,http://en.wikipedia.org/wiki/Fyodor_Alekseyev
44,leonardo-alenza,http://en.wikipedia.org/wiki/Leonardo_Alenza
45,alexander-bazhbeuk-melikyan,https://en.wikipedia.org/wiki/Alexander_Bazhbeuk-Melikyan
46,peter-alexander,http://en.wikipedia.org/wiki/Peter_Alexander_%28artist%29
47,alfredo-andersen,https://pt.wikipedia.org/wiki/Alfredo_Andersen
48,hoca-ali-riza,http://en.wikipedia.org/wiki/Hoca_Ali_R%C4%B1za
49,alphonse-allais,https://en.wikipedia.org/wiki/Alphonse_Allais
50,david-allan,https://en.wikipedia.org/wiki/David_Allan_(painter)
51,christian-wilhelm-allers,http://en.wikipedia.org/wiki/Christian_Wilhelm_Allers
52,jose-de-almada-negreiros,http://en.wikipedia.org/wiki/Jos?_de_Almada_Negreiros
53,lara-almarcegui,http://es.wikipedia.org/wiki/Lara_Almarcegui
54,sir-lawrence-alma-tadema,http://en.wikipedia.org/wiki/Lawrence_Alma-Tadema
55,helena-almeida,https://en.wikipedia.org/wiki/Helena_Almeida
56,carlos-alonso,http://en.wikipedia.org/wiki/Carlos_Alonso
57,rudolf-von-alt,http://en.wikipedia.org/wiki/Rudolf_von_Alt
58,ioannis-altamouras,http://en.wikipedia.org/wiki/Ioannis_Altamouras
59,albrecht-altdorfer,http://en.wikipedia.org/wiki/Albrecht_Altdorfer
60,nathan-altman,http://en.wikipedia.org/wiki/Nathan_Altman
61,john-altoon,https://en.wikipedia.org/wiki/John_Altoon
62,carsten-nicolai,http://en.wikipedia.org/wiki/Alva_Noto
63,hans-am-ende,http://en.wikipedia.org/wiki/Hans_am_Ende
64,theodor-aman,http://en.wikipedia.org/wiki/Theodor_Aman
65,tarsila-do-amaral,http://en.wikipedia.org/wiki/Tarsila_do_Amaral
66,pedro-americo,https://en.wikipedia.org/wiki/Pedro_Am%C3%A9rico
67,cuno-amiet,http://en.wikipedia.org/wiki/Cuno_Amiet
68,el-anatsui,https://en.wikipedia.org/wiki/El_Anatsui
69,anna-ancher,https://en.wikipedia.org/wiki/Anna_Ancher
70,edna-andrade,http://en.wikipedia.org/wiki/Edna_Andrade
71,carl-andre,http://en.wikipedia.org/wiki/Carl_Andre
72,ion-andreescu,http://en.wikipedia.org/wiki/Ion_Andreescu
73,benny-andrews,https://en.wikipedia.org/wiki/Benny_Andrews
74,charles-angrand,http://en.wikipedia.org/wiki/Charles_Angrand
75,sofonisba-anguissola,http://en.wikipedia.org/wiki/Sofonisba_Anguissola
76,albert-anker,http://en.wikipedia.org/wiki/Albert_Anker
77,jury-annenkov,http://en.wikipedia.org/wiki/Yury_Annenkov
78,giovanni-anselmo,https://en.wikipedia.org/wiki/Giovanni_Anselmo
79,thomas-pollock-anshutz,http://en.wikipedia.org/wiki/Thomas_Pollock_Anshutz
80,stephen-antonakos,http://en.wikipedia.org/wiki/Stephen_Antonakos
81,aleksey-antropov,http://en.wikipedia.org/wiki/Aleksey_Antropov
82,richard-anuszkiewicz,http://en.wikipedia.org/wiki/Richard_Anuszkiewicz
83,apelles,https://en.wikipedia.org/wiki/Apelles
84,karel-appel,http://en.wikipedia.org/wiki/Karel_Appel
85,billy-apple,http://en.wikipedia.org/wiki/Billy_Apple
86,anne-appleby,http://en.wikipedia.org/wiki/Anne_Appleby
87,peter-nicolai-arbo,https://en.wikipedia.org/wiki/Peter_Nicolai_Arbo
88,diana-arbus,https://en.wikipedia.org/wiki/Diane_Arbus
89,james-archer,https://en.wikipedia.org/wiki/James_Archer_(artist)
90,olexandr-archipenko,http://en.wikipedia.org/wiki/Alexander_Archipenko
91,giuseppe-arcimboldo,http://en.wikipedia.org/wiki/Giuseppe_Arcimboldo
92,mordecai-ardon,http://en.wikipedia.org/wiki/Mordecai_Ardon
93,antonio-areal,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Areal
94,sofia-areal,https://en.wikipedia.org/wiki/Sofia_Areal
95,rodolfo-arico,https://en.wikipedia.org/wiki/Rodolfo_Aric%C3%B2
96,avigdor-arikha,http://en.wikipedia.org/wiki/Avigdor_Arikha
97,howard-arkley,http://en.wikipedia.org/wiki/Howard_Arkley
98,siah-armajani,https://en.wikipedia.org/wiki/Siah_Armajani
99,arman,http://en.wikipedia.org/wiki/Arman
100,john-armleder,http://en.wikipedia.org/wiki/John_Armleder
101,rolf-amstrong,http://en.wikipedia.org/wiki/Rolf_Armstrong
102,andre-pierre-arnal,http://fr.wikipedia.org/wiki/Andr%C3%A9-Pierre_Arnal
103,francois-arnal,http://fr.wikipedia.org/wiki/Fran%C3%A7ois_Arnal
104,jean-arp,http://en.wikipedia.org/wiki/Jean_Arp
105,eduardo-arroyo,http://en.wikipedia.org/wiki/Eduardo_Arroyo
106,constantin-artachino,http://ro.wikipedia.org/wiki/Constantin_Artachino
107,arthur-nisio,https://pt.wikipedia.org/wiki/Artur_Jos%C3%A9_N%C3%ADsio
108,richard-artschwager,http://en.wikipedia.org/wiki/Richard_Artschwager
109,julian-ashton,https://en.wikipedia.org/wiki/Julian_Ashton
110,carlos-quizpez-asin,https://es.wikipedia.org/wiki/Carlos_Quizpez_As%C3%ADn
111,antonio-asis,http://en.wikipedia.org/wiki/Antonio_Asis
112,mariam-aslamazian,https://en.wikipedia.org/wiki/Mariam_Aslamazian
113,dieter-asmus,http://de.wikipedia.org/wiki/Dieter_Asmus
114,genevieve-asse,http://en.wikipedia.org/wiki/Genevi%C3%A8ve_Asse
115,jean-michel-atlan,http://en.wikipedia.org/wiki/Jean-Michel_Atlan
116,atsuko-tanaka,http://en.wikipedia.org/wiki/Atsuko_Tanaka_%28artist%29
117,christian-ludwig-attersee,https://en.wikipedia.org/wiki/Christian_Attersee
118,bernard-aubertin,https://en.wikipedia.org/wiki/Bernard_Aubertin
119,john-james-audubon,http://en.wikipedia.org/wiki/John_James_Audubon
120,frank-auerbach,http://en.wikipedia.org/wiki/Frank_Auerbach
121,george-ault,https://en.wikipedia.org/wiki/George_Ault
122,aura-hertwig,https://de.wikipedia.org/wiki/Aura_Hertwig
123,john-austen,https://en.wikipedia.org/wiki/John_Austen_(illustrator)
124,edward-avedisian,http://en.wikipedia.org/wiki/Edward_Avedisian
125,hendrick-avercamp,https://en.wikipedia.org/wiki/Hendrick_Avercamp
126,milton-avery,http://en.wikipedia.org/wiki/Milton_Avery
127,alaa-awad,https://en.wikipedia.org/wiki/Alaa_Awad
128,evelyne-axell,http://en.wikipedia.org/wiki/Evelyne_Axell
129,alice-aycock,http://en.wikipedia.org/wiki/Alice_Aycock
130,ay-o,http://en.wikipedia.org/wiki/Ay-O
131,gillian-ayres,http://en.wikipedia.org/wiki/Gillian_Ayres
132,anton-azbe,http://en.wikipedia.org/wiki/Anton_A%C5%BEbe
133,azim-azimzade,https://en.wikipedia.org/wiki/Azim_Azimzade
134,knud-baade,https://en.wikipedia.org/wiki/Knud_Baade
135,corneliu-baba,http://en.wikipedia.org/wiki/Corneliu_Baba
136,alice-baber,http://en.wikipedia.org/wiki/Alice_Baber
137,marcello-bacciarelli,https://en.wikipedia.org/wiki/Marcello_Bacciarelli
138,francis-bacon,http://en.wikipedia.org/wiki/Francis_Bacon_(artist)
139,jo-baer,http://en.wikipedia.org/wiki/Jo_Baer
140,olle-baertling,http://sv.wikipedia.org/wiki/Olle_B%C3%A6rtling
141,firmin-baes,https://en.wikipedia.org/wiki/Firmin_Baes
142,sattar-bahlulzadeh,https://en.wikipedia.org/wiki/Sattar_Bahlulzade
143,enrico-baj,http://en.wikipedia.org/wiki/Enrico_Baj
144,samuel-bak,http://en.wikipedia.org/wiki/Samuel_Bak
145,leon-bakst,http://en.wikipedia.org/wiki/L%C3%A9on_Bakst
146,sabin-balasa,http://en.wikipedia.org/wiki/Sabin_B%C4%83la%C5%9Fa
147,john-baldessari,http://en.wikipedia.org/wiki/John_Baldessari
148,hans-baldung,http://en.wikipedia.org/wiki/Hans_Baldung
149,endre-balint,http://en.wikipedia.org/wiki/Endre_B%C3%A1lint
150,peder-balke,https://en.wikipedia.org/wiki/Peder_Balke
151,giacomo-balla,http://en.wikipedia.org/wiki/Giacomo_Balla
152,mario-ballocco,http://it.wikipedia.org/wiki/Mario_Ballocco
153,balthus,http://en.wikipedia.org/wiki/Balthus
154,octav-bancila,http://en.wikipedia.org/wiki/Octav_B%C4%83ncil%C4%83
155,joachim-bandau,http://de.wikipedia.org/wiki/Joachim_Bandau
156,banksy,http://en.wikipedia.org/wiki/Banksy
157,walter-darby-bannard,http://en.wikipedia.org/wiki/Walter_Darby_Bannard
158,edward-mitchell-bannister,http://en.wikipedia.org/wiki/Edward_Mitchell_Bannister
159,noma-bar,https://en.wikipedia.org/wiki/Noma_Bar
160,miklos-barabas,http://en.wikipedia.org/wiki/Mikl%C3%B3s_Barab%C3%A1s
161,marcel-barbeau,http://en.wikipedia.org/wiki/Marcel_Barbeau
162,thomas-jones-barker,https://en.wikipedia.org/wiki/Thomas_Jones_Barker
163,phyllida-barlow,http://en.wikipedia.org/wiki/Phyllida_Barlow
164,will-barnet,http://en.wikipedia.org/wiki/Will_Barnet
165,hannelore-baron,http://en.wikipedia.org/wiki/Hannelore_Baron
166,fran-ois-barraud,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Barraud
167,martin-barre,http://fr.wikipedia.org/wiki/Martin_Barr%C3%A9
168,james-barry,https://en.wikipedia.org/wiki/James_Barry_(painter)
169,robert-barry,http://en.wikipedia.org/wiki/Robert_Barry_%28artist%29
170,jennifer-bartlett,http://en.wikipedia.org/wiki/Jennifer_Bartlett
171,gianfranco-baruchello,http://it.wikipedia.org/wiki/Gianfranco_Baruchello
172,georg-baselitz,http://en.wikipedia.org/wiki/Georg_Baselitz
173,marie-bashkirtseff,https://en.wikipedia.org/wiki/Marie_Bashkirtseff
174,jean-michel-basquiat,http://en.wikipedia.org/wiki/Jean-Michel_Basquiat
175,jacopo-bassano,http://en.wikipedia.org/wiki/Jacopo_Bassano
176,jules-bastien-lepage,https://en.wikipedia.org/wiki/Jules_Bastien-Lepage
177,david-batchelor,http://en.wikipedia.org/wiki/David_Batchelor_%28artist_and_writer%29
178,robert-bateman,http://en.wikipedia.org/wiki/Robert_Bateman_(artist)
179,david-bates,http://en.wikipedia.org/wiki/David_Bates_(artist)
180,walter-battiss,http://en.wikipedia.org/wiki/Walter_Battiss
181,andre-bauchant,http://en.wikipedia.org/wiki/Andr%C3%A9_Bauchant
182,john-bauer,http://en.wikipedia.org/wiki/John_Bauer_(illustrator)
183,rudolf-bauer,http://en.wikipedia.org/wiki/Rudolf_Bauer_%28artist%29
184,willi-baumeister,http://en.wikipedia.org/wiki/Willi_Baumeister
