,omni_id,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,general_type,genre,school,palette_families,palette,geocoded,media,style,location,tag,dominant_color,dominant_color_family,description,dbp_name,dbp_birthplace,dbp_lat,dbp_long
12,9006591,portrait of dr. william mcneill whistler,james mcneill whistler,james,mcneill whistler,1871,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=76&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/573a7922-e33b-a656-910d-b90573e6dfca/full/6000,/0/default.jpg",painting,american art,london,Grays Yellows,"[u'#7d6f59', u'#766b57', u'#6e614c', u'#665b48', u'#574935', u'#46392b', u'#8e7e66', u'#82745e', u'#726652', u'#5f523d', u'#5c4c36', u'#524432']",f,"oil paint (paint), organic material",impressionism,gallery 176,"oil paint (paint), people, modernism, organic material, impressionism, american arts, portraits, painting",#524432,Grays,"<p>born in massachusetts, james mcneill whistler lived all of his adult life in europe, working in artistic centers such as paris, london, and venice. whistler painted this portrait of his brother william in london, where both of them then lived; the artist had established a studio there in 1859. having served as a medical officer for the confederate army, dr. william mcneill whistler moved to the city after the civil war and was a respected physician. whistler modeled his brothers face with some degree of detail, yet also employed broad brushstrokes of thinly applied paint to merely suggest the sitters dress, which blends into a background of flat color.</p>",James Abbott McNeill Whistler,"Lowell, Massachusetts",42.6334247,-71.3161718
26,9007194,ready-to-wear,stuart davis,stuart,davis,1955,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=84&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/ad8b2b0f-e4ff-3a8e-2e46-c7c4edab7d67/full/6000,/0/default.jpg",painting,american art,united states,Whites Reds Blues Blacks Cyans,"[u'#e4e5dd', u'#c82d06', u'#672f24', u'#17232e', u'#15191f', u'#101117', u'#f9f2e7', u'#f5e8de', u'#c5380b', u'#408ad3', u'#3678c8', u'#1b74cb']",f,"oil paint (paint), canvas",modernism,gallery 262,"oil paint (paint), black (color), modernism, blue (color), canvas, white (color), painting, red (color), oil painting, modern and contemporary art, cubism, painting (image making)",#1b74cb,Cyans,"<p>stuart davis was acquainted from an early age with john sloan and robert henri, leaders of the so-called ashcan school, a group of artists committed to depicting all aspects of modern urban life. davis studied at henris new york school, but he eventually came to disagree with his teachers belief in the preeminence of content over composition and form; instead, he created a style in which he generalized and abstracted his shapes and the spaces between them.</p>
<p>nonetheless, daviss art is never totally abstract. twentieth-century america is reflected in the shapes and colors he chose and in the sheer vitality of his compositions. his stylebig, bright, bold, and clearis completely appropriate to his subject matter. forms have been reduced to large colored planes; words or numbers are simplified and offered as elements of design. in <em>ready-to-wear</em>, the bright, unmixed colors recall those of the french artist fernand lger. the way i",Stuart Davis (painter),Philadelphia,39.9524152,-75.1635755
33,9008603,untitled (butterfly habitat),joseph cornell,joseph,cornell,1940,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=100&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/46c0f1e5-7b3c-3507-3ac2-7995a04a1404/full/6000,/0/default.jpg",sculpture,modern art,united states,Whites Grays,"[u'#c9c7c1', u'#bab9b7', u'#aba798', u'#aaa9aa', u'#8e8976', u'#3d3530', u'#f0eee7', u'#dcdad0', u'#c7c4b3', u'#b4b2a3', u'#b0b0b0', u'#a2a29f']",f,glass,20th century,gallery 397,"construction/mixed media, glass, black (color), blue (color), insects, butterflies, yellow (color), sculpture, mixed media, sculpting, 20th century, modern and contemporary art, boxes, animals",#aaa9aa,Grays,"<p>for approximately thirty years, joseph cornell worked in relative obscurity in the basement of his home in queens, new york, creating a multitude of wondrous miniature worlds within his boxed constructions. poetic mlanges of found objects and materials, his deeply personal and elusive work (which also includes many collages on paper) combines the enthusiasms of his childhoodbutterflies, marbles, seashells, sky charts, stampswith adult fascinations such as ballerinas, empty cages, and movie stars. cornells boxes often prompt a dizzying series of associations; in <em>untitled (butterfly habitat)</em>, these include christmas decorations, collectors cabinets for specimens, microscopes, natural history displays, sailors boxes, and windows. some of these references are contradictory, reinforcing the works ambiguity. ideas linked to flight, voyages, and the exotic are countered by the rigid and symmetrical organization of the display. the butte",Joseph Cornell,"Nyack, New York",41.0906519,-73.9179146
35,9008805,after the bullfight,mary cassatt,mary,cassatt,1873,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=102&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/358d8dcf-2e83-2364-98ae-f7497fcd480c/full/6000,/0/default.jpg",painting,american art,united states,Reds Grays Blacks,"[u'#90836e', u'#6f6754', u'#675f4d', u'#5a392e', u'#535143', u'#444138', u'#43352d', u'#393933', u'#2f2b27', u'#75342c', u'#625644', u'#35322d']",f,"oil paint (paint), organic material",impressionism,gallery 171,"oil paint (paint), people, modernism, realism, men, organic material, impressionism, american arts, portraits, painting, fashion",#675f4d,Grays,"<p>mary cassatt chose a quintessentially spanish subject, executing this painting of a torero in full regalia during an extended stay in seville. having trained in philadelphia and paris, cassatt ventured alone to spain to study the countrys masters and to follow the artistic path of modern painters like douard manet. depicting the bullfighter at a relaxed moment, far removed from the spectacle and violence of the ring, cassatt elided narrative detail. instead, with a modernist sensibility, she focused on the male figure in a casual pose and employed vigorous brushwork and rich pigment to describe his costume. the bullfighters characteristic bravado nevertheless hints at flirtation with a female counterpart outside the frame.</p>",Mary Cassatt,"Allegheny, Pennsylvania",40.4597204,-79.9760405
36,9008806,the child's bath,mary cassatt,mary,cassatt,1893,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=102&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/c418c213-c246-1883-cd09-ca8496c69c9a/full/6000,/0/default.jpg",painting,american art,france,Reds Grays Blacks,"[u'#a68b84', u'#916f6a', u'#736b6c', u'#65574c', u'#5f6567', u'#3a4548', u'#262326', u'#b8bcc2', u'#a4a4a9', u'#818a98', u'#563a2d', u'#505450']",f,"oil paint (paint), organic material",impressionism,gallery 171,"everyday life (genre), oil paint (paint), people, modernism, domestic scenes, water, organic material, impressionism, emotions, american arts, children, portraits, women, painting, fashion, oil painting, painting (image making)",#563a2d,Reds,"<p>the only american artist to exhibit her work with the french impressionists, mary cassatt was first invited to show with the group by edgar degas in 1877. by that time, she had become disenchanted with traditional academic painting. like her friend degas, cassatt concentrated on the human figure in her impressionist works, particularly on sensitive yet unsentimental portrayals of women and children. <em>the childs bath</em>, with its striking and unorthodox composition, is one of cassatts masterworks. here she employed unconventional devices such as cropped forms, bold patterns and outlines, and a flattened perspective, all of which derived from her study of japanese woodblock prints. the lively patterns play off one another and serve to accentuate the nakedness of the child, whose vulnerable white legs are as straight as the lines of the womans striped dress. the elevated vantage point permits the viewer to observe, but not participate i",Mary Cassatt,"Allegheny, Pennsylvania",40.4597204,-79.9760405
37,9009061,view of a southern french city,childe hassam,childe,hassam,1910,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=105&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/ed344358-f4d4-3168-857f-6ddf9d4d4851/full/6000,/0/default.jpg",painting,american art,united states,Grays,"[u'#617065', u'#a99b7f', u'#97a99f', u'#7d918a', u'#747568', u'#6d7165', u'#404944', u'#c7c2a5', u'#bbae90', u'#959481', u'#827a67', u'#616053']",f,oil paint (paint),impressionism,gallery 171,"oil paint (paint), cityscapes, impressionism, painting, modern and contemporary art",#616053,Grays,"<p>painted during one of childe hassam's lengthy and ambitious working trips to europe, <em>view of a southern french city</em> depicts the mediterranean's characteristic pastel hues. the precise location is unknown, but the scene illustrates a bustling, open-air market in a village square. perhaps one of the most nomadic of the group of artists known as the american impressionists, hassam traveled and painted extensively throughout europe and the eastern united states during his lifetime. the brightly colored flickers of paint used here to render the figures serve both to enliven the canvas and showcase the artist's affinity to the artistic movement.</p>",Childe Hassam,"Dorchester, Boston",42.2973205,-71.0744952
38,9009072,new england headlands,childe hassam,childe,hassam,1899,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=105&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/594480cc-e327-d4f1-86c4-cf0b06c01d6e/full/6000,/0/default.jpg",painting,american art,gloucester,Whites Grays Cyans,"[u'#d1d3cb', u'#adbbbe', u'#aab1ab', u'#a9bfc5', u'#9ba398', u'#7f8b85', u'#c3c8c5', u'#c1c0b9', u'#b9b2a5', u'#aec4c9', u'#93bac5', u'#91b2b7']",f,"oil paint (paint), organic material",impressionism,gallery 171,"weather/seasons, landscapes, oil paint (paint), water, organic material, impressionism, american arts, painting, world's fairs, architecture, chicago world's fairs, century of progress",#9ba398,Grays,"<p><em>new england headlands</em> is a panoramic landscape depicting gloucester, massachusetts, one of childe hassam's favorite haunts along the new england coast. gloucester was home to many artists during the summer months, who, like hassam, chose to emphasize its picturesque aspects (quaint architecture and sailing vessels) rather than the fish-drying and -packing plants that were prominent features of the bustling fishing town's landscape. the work exhibits hassam's broken, hyphen-like brushwork and his use of bare canvas as a compositional device. bright, saturated blues and crisp whites augment the maritime nature of the work, while the square canvas emphasizes its architectonic quality and harmoniously organized space.</p>",Childe Hassam,"Dorchester, Boston",42.2973205,-71.0744952
39,9009080,"the little pond, appledore",childe hassam,childe,hassam,1890,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=105&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/6d6c63ae-10c5-7128-c212-2e813bc925fa/full/6000,/0/default.jpg",painting,american art,new hampshire,Whites Grays,"[u'#d8dfe3', u'#c8c1ab', u'#d3d9e1', u'#cdd3d5', u'#c8d9e2', u'#acbdaf', u'#8ba58e', u'#d6d8db', u'#d4dce2', u'#cedae1', u'#aca890', u'#778870']",f,"oil paint (paint), organic material",impressionism,gallery 171,"weather/seasons, landscapes, oil paint (paint), water, organic material, impressionism, american arts, painting",#cedae1,Whites,"<p>appledore island is one of the isles of shoals located off the new hampshire coast and the home of the poet celia thaxter, and it attracted numerous artists and writers to its rocky shores during the late nineteenth century. <em>the little pond, appledore</em> dates from childe hassam's first summer sojourn there, after three years spent working in europe, and reflects his burgeoning interest in the bright palette, broken brushwork, and dramatic light effects of impressionist painting.</p>",Childe Hassam,"Dorchester, Boston",42.2973205,-71.0744952
45,9009622,the philosopher's conquest,giorgio de chirico,giorgio,de chirico,1913,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=111&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/92bcf359-1ebb-a125-686c-f24bf1e51dd4/full/6000,/0/default.jpg",oil on canvas,modern art,italy,Whites Grays Yellows Reds Blacks,"[u'#dbd1be', u'#8e7956', u'#818b6d', u'#7c674d', u'#797f5c', u'#684534', u'#546148', u'#3f3d31', u'#bba27d', u'#514637', u'#494233', u'#332e26']",f,"oil paint (paint), canvas",modernism,gallery 391,"oil paint (paint), modernism, oil on canvas, canvas, painting, trains, oil painting, modern and contemporary art, painting (image making), smokestacks, artichokes, clocks",#3f3d31,Grays,"<p>the work of giorgio de chirico represents an unexpected form of classicism in early avant-garde painting. this canvas, one of six in a series, combines a mediterranean cityscape with still-life objects. familiar elements appear in many of de chiricos paintings like pieces of a mysterious puzzle: a classical arcade, oddly oversize artichokes, a cannon and cannonballs, a clock, an industrial brick chimney, a monumental tower, a running train, and a square-rigged sailing ship. here the stage set for this extraordinary juxtaposition of objects is an italian piazza, virtually deserted except for the menacing shadowy figures outside the edge of the scene.</p>
<p>de chirico represented objects with a matter-of-fact, though intentionally crude, precision. he painted his scenes flatly, in bright colors, and illuminated them with a cold white light. rendered in this clear style, works like <em>the philosophers conquest</em> seem rife with meaning,",Giorgio de Chirico,Volos,39.3624382,22.9418905
46,9009896,the old guitarist,pablo picasso,pablo,picasso,1903,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=114&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/869a7319-306e-ca90-1732-cb614199f3df/full/6000,/0/default.jpg",oil on panel,modern art,spain,Cyans Blacks Grays,"[u'#2e434d', u'#575b4e', u'#3e555a', u'#3d6b7d', u'#2e5161', u'#273742', u'#1f3543', u'#679296', u'#546c6b', u'#4d7884', u'#244258', u'#1e2a37']",f,oil paint (paint),cubism,gallery 391,"music, oil paint (paint), post-impressionism, oil on panel, men, blue (color), musical instruments, emotions, portraits, painting, world's fairs, oil painting, modern and contemporary art, cubism, painting (image making), chicago world's fairs, guitars, elderly, century of progress",#2e434d,Cyans,"<p>pablo picasso produced <em>the old guitarist</em>, one of his most haunting images, while working in barcelona. in the paintings of his blue period (19014), of which this is a prime example, picasso restricted himself to a cold, monochromatic blue palette; attened forms; and the emotional, psychological themes of human misery and alienation, which are related to the symbolist movement and the work of such artists as edvard munch. picasso presented <em>the old guitarist</em> as a timeless expression of human suffering. the bent and sightless man holds his large, round guitar close to him; its brown body is the paintings only shift in color. the elongated, angular figure of the blind musician relates to the artists interest in the history of spanish art and, in particular, the great sixteenth-century artist el greco. most personally, however, the image reects the struggling twenty-two-year-old picassos sympathy for the plight of the downtro",Pablo Picasso,Málaga,36.7213028,-4.4216366
